"Statistic Label","Year","Type of Building and Construction","UNIT","VALUE"
"Value of Production Index in Building and Construction","2020","All building and construction","Base 2015=100","143.8280889"
"Value of Production Index in Building and Construction","2020","Building (excluding civil engineering)","Base 2015=100","152.33994814"
"Value of Production Index in Building and Construction","2020","Residential building","Base 2015=100","136.37172616"
"Value of Production Index in Building and Construction","2020","Non-residential building","Base 2015=100","154.81389802"
"Value of Production Index in Building and Construction","2020","Civil engineering","Base 2015=100","105.05184126"
"Value of Production Index in Building and Construction","2021","All building and construction","Base 2015=100","147.74236621"
"Value of Production Index in Building and Construction","2021","Building (excluding civil engineering)","Base 2015=100","152.45482437"
"Value of Production Index in Building and Construction","2021","Residential building","Base 2015=100","129.37821013"
"Value of Production Index in Building and Construction","2021","Non-residential building","Base 2015=100","156.03007446"
"Value of Production Index in Building and Construction","2021","Civil engineering","Base 2015=100","126.27450127"
"Value of Production Index in Building and Construction","2022","All building and construction","Base 2015=100","166.22978276"
"Value of Production Index in Building and Construction","2022","Building (excluding civil engineering)","Base 2015=100","172.9242827"
"Value of Production Index in Building and Construction","2022","Residential building","Base 2015=100","146.92724076"
"Value of Production Index in Building and Construction","2022","Non-residential building","Base 2015=100","176.95199343"
"Value of Production Index in Building and Construction","2022","Civil engineering","Base 2015=100","135.73261633"
"Volume of Production Index in Building and Construction","2000","All building and construction","Base 2015=100","218.51137053"
"Volume of Production Index in Building and Construction","2000","Building (excluding civil engineering)","Base 2015=100","281.1015359"
"Volume of Production Index in Building and Construction","2000","Residential building","Base 2015=100","471.86776308"
"Volume of Production Index in Building and Construction","2000","Non-residential building","Base 2015=100","148.33114142"
"Volume of Production Index in Building and Construction","2000","Civil engineering","Base 2015=100","86.995463649"
"Volume of Production Index in Building and Construction","2001","All building and construction","Base 2015=100","225.91125994"
"Volume of Production Index in Building and Construction","2001","Building (excluding civil engineering)","Base 2015=100","285.80464687"
"Volume of Production Index in Building and Construction","2001","Residential building","Base 2015=100","490.85454694"
"Volume of Production Index in Building and Construction","2001","Non-residential building","Base 2015=100","142.10902087"
"Volume of Production Index in Building and Construction","2001","Civil engineering","Base 2015=100","97.619197428"
"Volume of Production Index in Building and Construction","2002","All building and construction","Base 2015=100","230.59740134"
"Volume of Production Index in Building and Construction","2002","Building (excluding civil engineering)","Base 2015=100","283.54585492"
"Volume of Production Index in Building and Construction","2002","Residential building","Base 2015=100","499.10739821"
"Volume of Production Index in Building and Construction","2002","Non-residential building","Base 2015=100","131.46589064"
"Volume of Production Index in Building and Construction","2002","Civil engineering","Base 2015=100","112.69559827"
"Volume of Production Index in Building and Construction","2003","All building and construction","Base 2015=100","243.65138314"
"Volume of Production Index in Building and Construction","2003","Building (excluding civil engineering)","Base 2015=100","302.64431969"
"Volume of Production Index in Building and Construction","2003","Residential building","Base 2015=100","554.67397005"
"Volume of Production Index in Building and Construction","2003","Non-residential building","Base 2015=100","123.09782638"
"Volume of Production Index in Building and Construction","2003","Civil engineering","Base 2015=100","114.2177579"
"Volume of Production Index in Building and Construction","2004","All building and construction","Base 2015=100","305.5688523"
"Volume of Production Index in Building and Construction","2004","Building (excluding civil engineering)","Base 2015=100","385.67016809"
"Volume of Production Index in Building and Construction","2004","Residential building","Base 2015=100","731.6334288"
"Volume of Production Index in Building and Construction","2004","Non-residential building","Base 2015=100","139.32946604"
"Volume of Production Index in Building and Construction","2004","Civil engineering","Base 2015=100","129.69860925"
"Volume of Production Index in Building and Construction","2005","All building and construction","Base 2015=100","335.76469497"
"Volume of Production Index in Building and Construction","2005","Building (excluding civil engineering)","Base 2015=100","422.55046775"
"Volume of Production Index in Building and Construction","2005","Residential building","Base 2015=100","806.3406191"
"Volume of Production Index in Building and Construction","2005","Non-residential building","Base 2015=100","149.29782817"
"Volume of Production Index in Building and Construction","2005","Civil engineering","Base 2015=100","145.24123978"
"Volume of Production Index in Building and Construction","2006","All building and construction","Base 2015=100","348.89085571"
"Volume of Production Index in Building and Construction","2006","Building (excluding civil engineering)","Base 2015=100","433.42484217"
"Volume of Production Index in Building and Construction","2006","Residential building","Base 2015=100","820.00436684"
"Volume of Production Index in Building and Construction","2006","Non-residential building","Base 2015=100","158.1535589"
"Volume of Production Index in Building and Construction","2006","Civil engineering","Base 2015=100","163.41759451"
"Volume of Production Index in Building and Construction","2007","All building and construction","Base 2015=100","301.96224979"
"Volume of Production Index in Building and Construction","2007","Building (excluding civil engineering)","Base 2015=100","361.90875718"
"Volume of Production Index in Building and Construction","2007","Residential building","Base 2015=100","645.32863934"
"Volume of Production Index in Building and Construction","2007","Non-residential building","Base 2015=100","159.90953062"
"Volume of Production Index in Building and Construction","2007","Civil engineering","Base 2015=100","170.7022976"
