"Statistic Label","Year","Persons Engaged","UNIT","VALUE"
"Employees - Total","2016","250 and over","Number","6783"
"Employees - Total","2017","0 - 9","Number","43956"
"Employees - Total","2017","10 - 49","Number","31190"
"Employees - Total","2017","50 - 249","Number","13820"
"Employees - Total","2017","250 and over","Number","8936"
"Employees - Total","2018","0 - 9","Number","47163"
"Employees - Total","2018","10 - 49","Number","33114"
"Employees - Total","2018","50 - 249","Number","15181"
"Employees - Total","2018","250 and over","Number","10589"
"Employees - Total","2019","0 - 9","Number","51501"
"Employees - Total","2019","10 - 49","Number","37278"
"Employees - Total","2019","50 - 249","Number","17731"
"Employees - Total","2019","250 and over","Number","12414"
"Persons Engaged - Proprietors and Unpaid Family Workers","2008","0 - 9","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2008","10 - 49","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2008","50 - 249","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2008","250 and over","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2009","0 - 9","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2009","10 - 49","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2009","50 - 249","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2009","250 and over","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2010","0 - 9","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2010","10 - 49","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2010","50 - 249","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2010","250 and over","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2011","0 - 9","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2011","10 - 49","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2011","50 - 249","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2011","250 and over","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2012","0 - 9","Number",""
"Persons Engaged - Proprietors and Unpaid Family Workers","2012","10 - 49","Number",""
